,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
3733,0.24936676025390625,0.008666575023650322,0.02017998695373535,0.0008256483472588094,45,sqrt,270,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 270}",-2.9213780667521085,-2.3766499259144807,-2.269164679782477,-2.5223975574830217,0.2855139863666683,619
3734,0.2417603333791097,0.0004051519216573781,0.019006649653116863,1.4145722542906819e-05,45,sqrt,275,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 275}",-2.9210331677757906,-2.3844394570699583,-2.266315403302719,-2.5239293427161558,0.28490572584318263,677
3735,0.2666930357615153,0.0018811267020875301,0.021298964818318684,0.00015359318071640684,45,sqrt,280,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 280}",-2.9126554471165944,-2.367202232804554,-2.271071751302902,-2.5169764770746834,0.28252628534764146,460
3736,0.2559957504272461,0.008895699510299384,0.020209630330403645,0.0007571959455802707,45,sqrt,285,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 285}",-2.9118138429984337,-2.3865192753860467,-2.275702985885788,-2.5246787014234227,0.27745903708040587,720
3737,0.26241811116536456,0.011107395457307743,0.020668586095174152,0.0010286525563895272,45,sqrt,290,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 290}",-2.9216337030794515,-2.395974976053203,-2.26956682389952,-2.529058501010725,0.2823487467562097,897
3738,0.28249096870422363,0.0020328921266226482,0.021764834721883137,0.0002486598975762183,45,sqrt,295,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 295}",-2.9348237469181777,-2.398461950884163,-2.271331052992553,-2.5348722502649643,0.28753140820443784,1059
3739,0.2628049850463867,0.0005920230814730281,0.020557324091593426,0.00018791118617482238,45,sqrt,300,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 300}",-2.9448879900043203,-2.395229495901454,-2.2624152621471874,-2.5341775826843205,0.29543435162785125,1036
3740,0.28251147270202637,0.010979596719109402,0.02248072624206543,0.0008391410738923111,45,sqrt,305,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 305}",-2.9617046076064755,-2.403501810785028,-2.270773284259219,-2.545326567550241,0.29936846818954466,1476
3741,0.2863522370656331,0.012162791176408557,0.02248668670654297,0.0012978081557128247,45,sqrt,310,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 310}",-2.972031185181296,-2.4060673711755403,-2.2747138148242376,-2.550937457060358,0.3025484920786821,1725
3742,0.2746632893880208,0.0005564988020330264,0.021295468012491863,0.00011672780359797122,45,sqrt,315,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 315}",-2.9699843360790013,-2.4154271714900752,-2.278177638234923,-2.5545297152679995,0.2990666202923121,1833
3743,0.30587395032246906,0.002254528327358046,0.02423373858133952,0.0009328513235624138,45,sqrt,320,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 320}",-2.985803684928664,-2.4249328311635696,-2.276895410931684,-2.562543975674639,0.30533081027587033,1964
3744,0.3106242020924886,0.0033709507578970226,0.023880163828531902,0.000450588253210537,45,sqrt,325,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 325}",-2.9780291550086146,-2.440678436381428,-2.2718904597241516,-2.563532683704731,0.30108452723284923,1995
3745,0.3044382731119792,0.01140466360512981,0.02360995610555013,0.0011134582665780902,45,sqrt,330,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 330}",-2.970282788076905,-2.444521337678432,-2.2701840246187097,-2.5616627167913486,0.2975748047962402,1944
3746,0.2920471827189128,0.0009597460726327675,0.02247166633605957,0.0001106072072428412,45,sqrt,335,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 335}",-2.981972743194241,-2.4397500298465116,-2.2664740323192727,-2.562732268453342,0.3047710338111721,1973
3747,0.3218816916147868,0.002649586223311886,0.024836381276448567,0.0001076866339895015,45,sqrt,340,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 340}",-2.9878452555232693,-2.4255858901573513,-2.25495887870424,-2.556130008128287,0.3131154583475966,1867
3748,0.31309207280476886,0.017812421310462595,0.02359612782796224,0.0010140077425999435,45,sqrt,345,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 345}",-2.9761415739435653,-2.4205584976171997,-2.2504537729907286,-2.5490512815171646,0.3098800765336092,1619
3749,0.31293495496114093,0.012097734717376707,0.024048010508219402,0.0011848209042891204,45,sqrt,350,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 350}",-2.976642902150085,-2.4307160259958063,-2.2449957148249498,-2.5507848809902804,0.3105256823892439,1703
3750,0.3383942445119222,0.00329555337208793,0.025510072708129883,0.00045659421677074025,45,sqrt,355,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 355}",-2.966549635006271,-2.4329547323957446,-2.250954019345566,-2.550152795582527,0.30366737372686314,1670
3751,0.3453529675801595,0.0019796233725157208,0.02607448895772298,0.00038018458838142853,45,sqrt,360,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 360}",-2.974998743213965,-2.4229636927698,-2.2587790595621735,-2.552247165181979,0.3063530871307171,1745
3752,0.3283352851867676,0.014344284817389582,0.025168180465698242,0.0014986573272216994,45,sqrt,365,"{'max_depth': 45, 'max_features': 'sqrt', 'n_estimators': 365}",-2.9843990400880265,-2.431092302437769,-2.2532590376535895,-2.5562501267264617,0.3113302496551067,1878
